step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
159,CASH_OUT,19407.71,C94967369,0.0,0.0,C345029558,1697420.2,1716827.91,0,0
354,CASH_IN,42245.92,C1966561002,23443011.93,23485257.86,C1679546686,8558675.0,8516429.08,0,0
206,CASH_IN,209968.83,C930806722,106389.0,316357.83,C1717621233,645254.55,435285.72,0,0
202,PAYMENT,762.35,C356868736,21849.0,21086.65,M1445456344,0.0,0.0,0,0
19,CASH_OUT,36568.56,C665333574,40704.0,4135.44,C815365999,287829.98,324398.54,0,0
163,TRANSFER,799810.16,C1021049266,0.0,0.0,C487259049,1008116.14,1807926.3,0,0
249,CASH_OUT,249801.15,C43693411,0.0,0.0,C1568141806,1841449.0,2091250.14,0,0
328,CASH_IN,70569.09,C1133327344,567510.41,638079.5,C758759529,134936.16,64367.07,0,0
354,TRANSFER,195672.44,C1407543632,1184.0,0.0,C1572169696,144404.4,340076.84,0,0
358,CASH_IN,74439.42,C1419724408,325020.52,399459.94,C489471568,2540423.33,2465983.9,0,0
403,CASH_IN,159743.83,C2062495569,46.0,159789.83,C31732904,250830.21,91086.38,0,0
204,CASH_IN,972.64,C1770079280,8225194.36,8226167.0,C626533045,396044.72,395072.08,0,0
495,TRANSFER,590478.6,C1365768287,34770.73,0.0,C485608863,983632.09,1574110.69,0,0
11,CASH_IN,120338.98,C588547037,1087996.78,1208335.77,C1116915569,2553286.27,2751388.1,0,0
42,PAYMENT,1345.39,C2034930773,0.0,0.0,M1791366650,0.0,0.0,0,0
185,CASH_OUT,81415.83,C1655774657,461.0,0.0,C1208929268,15380.0,62444.64,0,0
380,CASH_OUT,34787.05,C1680921613,56938.0,22150.95,C1736161912,1577537.64,1612324.69,0,0
518,CASH_OUT,78670.97,C7020782,11288.0,0.0,C702220222,1249157.01,1327827.98,0,0
352,CASH_OUT,26346.39,C1837358317,0.0,0.0,C150506406,41791.1,68137.5,0,0
258,CASH_IN,55871.71,C1976659226,4532415.46,4588287.18,C1355955638,64180.35,8308.64,0,0
231,CASH_IN,222624.64,C1643972226,1540232.25,1762856.89,C1824348154,11417427.09,11194802.44,0,0
420,CASH_OUT,134932.22,C229385610,0.0,0.0,C1652096927,137041.5,271973.72,0,0
514,CASH_OUT,143820.91,C1010682213,0.0,0.0,C612454587,2989508.21,3133329.12,0,0
303,PAYMENT,7087.81,C1916816363,11426.0,4338.19,M119493997,0.0,0.0,0,0
228,PAYMENT,76058.07,C1722235011,698861.0,622802.93,M1885698619,0.0,0.0,0,0
19,CASH_IN,35416.27,C858206594,69303.0,104719.27,C915240663,2904696.52,2869280.25,0,0
574,PAYMENT,6061.07,C43861649,3819.01,0.0,M15715995,0.0,0.0,0,0
203,CASH_IN,443644.78,C110289321,3833559.43,4277204.21,C830074476,1421131.18,977486.4,0,0
332,PAYMENT,976.8,C561160451,75586.0,74609.2,M1617806956,0.0,0.0,0,0
188,CASH_OUT,165871.31,C820100531,0.0,0.0,C1376570100,4042234.46,4208105.77,0,0
132,CASH_OUT,215707.09,C441367806,24125.0,0.0,C1364258650,1955.31,217662.4,0,0
642,PAYMENT,1420.15,C1981312783,39728.0,38307.85,M58437157,0.0,0.0,0,0
235,CASH_OUT,47193.65,C1516520801,0.0,0.0,C334263936,501104.47,548298.13,0,0
208,CASH_OUT,55319.55,C1037611095,664672.0,609352.45,C650478898,1492538.58,1547858.13,0,0
394,CASH_IN,17535.95,C708929698,16198580.97,16216116.93,C818968378,5865234.91,5847698.95,0,0
163,CASH_IN,246943.48,C128138649,10882.0,257825.48,C1728114472,403385.04,156441.56,0,0
326,PAYMENT,12653.99,C1882426215,100686.0,88032.01,M193417756,0.0,0.0,0,0
179,CASH_IN,133062.68,C987870141,13625564.57,13758627.25,C1921820100,1481152.4,1348089.72,0,0
41,PAYMENT,1077.4,C1986127,0.0,0.0,M722805564,0.0,0.0,0,0
278,PAYMENT,2063.79,C1079106843,87824.25,85760.46,M2057963835,0.0,0.0,0,0
276,CASH_OUT,88104.85,C708086193,0.0,0.0,C1240105543,138429.08,226533.93,0,0
284,CASH_OUT,7671.26,C2084103157,31742.0,24070.74,C1005087645,595213.74,602885.0,0,0
322,PAYMENT,6063.99,C375644701,0.0,0.0,M1636205384,0.0,0.0,0,0
207,CASH_IN,320184.73,C1870712027,66420.0,386604.73,C1322077501,571853.72,251668.99,0,0
307,CASH_OUT,218766.46,C979380484,841887.9,623121.44,C1641854753,87654461.09,87873227.55,0,0
299,CASH_OUT,463779.46,C500433029,0.0,0.0,C1748608003,1807418.81,2271198.27,0,0
334,CASH_OUT,354397.92,C1860900396,654604.51,300206.59,C2055669128,433671.01,788068.93,0,0
11,PAYMENT,30298.26,C549830448,0.0,0.0,M1154945291,0.0,0.0,0,0
42,CASH_OUT,250073.85,C496864055,99334.0,0.0,C188634042,52697.89,302771.75,0,0
46,PAYMENT,7057.69,C740870931,11682.0,4624.31,M1006138117,0.0,0.0,0,0
188,CASH_IN,274675.88,C1137589420,327981.6,602657.48,C1253223699,362340.96,87665.09,0,0
35,CASH_OUT,325.83,C2106307310,0.0,0.0,C1046805113,1385067.96,1385393.79,0,0
377,PAYMENT,9769.43,C2003458133,0.0,0.0,M1040205057,0.0,0.0,0,0
407,PAYMENT,11024.41,C1526720316,133.0,0.0,M1578510086,0.0,0.0,0,0
348,CASH_IN,126853.82,C864583923,2724612.95,2851466.78,C1893187467,215214.87,88361.05,0,0
284,PAYMENT,7197.64,C709112470,0.0,0.0,M36785606,0.0,0.0,0,0
380,CASH_OUT,371430.88,C12785515,36215.0,0.0,C1570101291,515269.91,886700.8,0,0
136,PAYMENT,27302.1,C134778362,189.0,0.0,M1226827123,0.0,0.0,0,0
6,PAYMENT,22655.09,C231989731,256386.0,233730.91,M646359041,0.0,0.0,0,0
154,CASH_OUT,159250.86,C511427942,6983.0,0.0,C1231205803,631224.1,790474.96,0,0
39,PAYMENT,8508.05,C2058938319,22094.81,13586.76,M1802410468,0.0,0.0,0,0
207,CASH_OUT,224973.69,C793091744,26402.0,0.0,C1149913759,0.0,224973.69,0,0
185,PAYMENT,41436.27,C1811914517,0.0,0.0,M1702247017,0.0,0.0,0,0
234,PAYMENT,9662.99,C902244801,139894.06,130231.07,M590128896,0.0,0.0,0,0
42,TRANSFER,158242.46,C1953623443,21220.0,0.0,C1029472813,354813.76,513056.22,0,0
201,CASH_IN,106880.32,C1593026496,3092045.19,3198925.52,C1672419053,341135.79,234255.47,0,0
403,CASH_IN,314632.23,C511460726,8712888.72,9027520.95,C375279957,4637019.14,4322386.91,0,0
184,CASH_OUT,63130.36,C1098204511,0.0,0.0,C187344822,605768.54,668898.91,0,0
40,CASH_OUT,605241.46,C753127519,476629.0,0.0,C1901758500,145705.89,750947.36,0,0
